GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4813684,160,48,,,,,,Celina city,6028,1972,1861,703,6028,1861
4815196,160,48,,,,,,Claude city,1196,518,1313,538,1196,1313
4815364,160,48,,,,,,Cleburne city,29337,11418,26005,9910,29337,26005
4815676,160,48,,,,,,Clyde city,3713,1631,3345,1410,3713,3345
4815700,160,48,,,,,,Coahoma town,817,384,932,388,817,932
4815796,160,48,,,,,,Cockrell Hill city,4193,1184,4443,1205,4193,4443
4815820,160,48,,,,,,Coffee City town,278,161,193,109,278,193
4815892,160,48,,,,,,Coldspring city,853,373,691,313,853,691
4815916,160,48,,,,,,Coleman city,4709,2572,5127,2658,4709,5127
4817811,160,48,,,,,,Cross Mountain CDP,3124,1105,1524,555,3124,1524
4817816,160,48,,,,,,Cross Plains town,982,523,1068,554,982,1068
4818128,160,48,,,,,,Cumby city,777,336,616,292,777,616
4818134,160,48,,,,,,Cumings CDP,981,307,683,186,981,683
4818152,160,48,,,,,,Cuney town,140,77,145,78,140,145
4818224,160,48,,,,,,Cushing city,612,268,637,257,612,637
4818260,160,48,,,,,,Cut and Shoot city,1070,413,1158,410,1070,1158
4818464,160,48,,,,,,Daingerfield city,2560,1086,2517,1119,2560,2517
4819624,160,48,,,,,,Deer Park city,32010,11742,28520,9921,32010,28520
4821904,160,48,,,,,,Early city,2762,1138,2588,1080,2762,2588
4821928,160,48,,,,,,Earth city,1065,453,1109,458,1065,1109
4821988,160,48,,,,,,East Bernard city,2272,909,1729,662,2272,1729
4822720,160,48,,,,,,Edna city,5499,2509,5899,2609,5499,5899
4824000,160,48,,,,,,El Paso city,649121,227605,563662,193663,649121,563662
4824816,160,48,,,,,,Eureka city,307,157,340,143,307,340
4824828,160,48,,,,,,Eustace city,991,414,798,339,991,798
4824840,160,48,,,,,,Evadale CDP,1483,615,1430,591,1483,1430
4824864,160,48,,,,,,Evant town,426,199,393,189,426,393
4824912,160,48,,,,,,Everman city,6108,2003,5836,1987,6108,5836
4827288,160,48,,,,,,Franklin city,1564,711,1470,626,1564,1470
4827300,160,48,,,,,,Frankston town,1229,565,1209,525,1229,1209
4827348,160,48,,,,,,Fredericksburg city,10530,5421,8911,4183,10530,8911
4827696,160,48,,,,,,Fritch city,2117,951,2235,961,2117,2235
4827744,160,48,,,,,,Fronton CDP,180,53,599,218,180,599
4827768,160,48,,,,,,Frost city,643,260,648,250,643,648
4829000,160,48,,,,,,Garland city,226876,80834,215768,75300,226876,215768
4830464,160,48,,,,,,Grand Prairie city,175396,62424,127427,46425,175396,127427
4830632,160,48,,,,,,Grapeland city,1489,786,1451,726,1489,1451
4830752,160,48,,,,,,Grays Prairie village,337,124,296,103,337,296
4830806,160,48,,,,,,Greatwood CDP,11538,3939,6640,2338,11538,6640
4830890,160,48,,,,,,Green Valley Farms CDP,1272,330,720,191,1272,720
4830920,160,48,,,,,,Greenville city,25557,10838,23960,9977,25557,23960
4833188,160,48,,,,,,Hemphill city,1198,533,1106,574,1198,1106
4833200,160,48,,,,,,Hempstead city,5770,2220,4691,1848,5770,4691
4833212,160,48,,,,,,Henderson city,13712,4859,11273,4831,13712,11273
4833548,160,48,,,,,,Hico city,1379,649,1341,640,1379,1341
4833560,160,48,,,,,,Hidalgo city,11198,2959,7322,1880,11198,7322
4833608,160,48,,,,,,Higgins city,397,228,425,253,397,425
4833794,160,48,,,,,,Highland Haven city,431,321,450,272,431,450
4833824,160,48,,,,,,Highland Park town,8564,3717,8842,3759,8564,8842
4833836,160,48,,,,,,Highlands CDP,7522,2941,7089,2812,7522,7089
4835984,160,48,,,,,,Industry city,304,158,304,142,304,304
4835996,160,48,,,,,,Inez CDP,2098,839,1787,684,2098,1787
4836008,160,48,,,,,,Ingleside city,9387,3714,9388,3268,9387,9388
4836020,160,48,,,,,,Ingleside on the Bay city,615,334,659,304,615,659
4836032,160,48,,,,,,Ingram city,1804,776,1740,711,1804,1740
4836092,160,48,,,,,,Iowa Colony village,1170,415,804,302,1170,804
4836104,160,48,,,,,,Iowa Park city,6355,2794,6431,2607,6355,6431
4838632,160,48,,,,,,Keller city,39627,14051,27345,9216,39627,27345
4838992,160,48,,,,,,Kerens city,1573,705,1681,750,1573,1681
4839004,160,48,,,,,,Kermit city,5708,2451,5714,2592,5708,5714
4839040,160,48,,,,,,Kerrville city,22347,10582,20425,9477,22347,20425
4839460,160,48,,,,,,Kirbyville city,2142,984,2085,931,2142,2085
4839664,160,48,,,,,,Knippa CDP,689,306,739,280,689,739
4839680,160,48,,,,,,Knollwood city,226,106,375,150,226,375
4839700,160,48,,,,,,Knox City town,1130,574,1219,613,1130,1219
4841116,160,48,,,,,,La Marque city,14509,6232,13682,5732,14509,13682
4841164,160,48,,,,,,Lamesa city,9422,4170,9952,4270,9422,9952
4841188,160,48,,,,,,Lampasas city,6681,2903,6786,2799,6681,6786
4842532,160,48,,,,,,Lexington town,1177,541,1178,540,1177,1178
4842568,160,48,,,,,,Liberty city,8397,3242,8033,3187,8397,8033
4842868,160,48,,,,,,Lindsay city,1018,379,788,274,1018,788
4842940,160,48,,,,,,Lipan city,430,220,425,204,430,425
4843012,160,48,,,,,,Little Elm city,25898,8581,3646,1302,25898,3646
4843024,160,48,,,,,,Littlefield city,6372,2752,6507,2784,6372,6507
4845012,160,48,,,,,,Lucas city,5166,1641,2890,962,5166,2890
4845048,160,48,,,,,,Lueders city,346,200,300,168,346,300
4845072,160,48,,,,,,Lufkin city,35067,14183,32709,13402,35067,32709
4845096,160,48,,,,,,Luling city,5411,2115,5080,1950,5411,5080
4845120,160,48,,,,,,Lumberton city,11943,4664,8731,3443,11943,8731
4845228,160,48,,,,,,Lyford city,2611,829,1973,614,2611,1973
4847832,160,48,,,,,,Mertzon city,781,358,839,364,781,839
4847916,160,48,,,,,,Mexia city,7459,2866,6563,2750,7459,6563
4848072,160,48,,,,,,Midland city,111147,44708,94996,39855,111147,94996
4848408,160,48,,,,,,Milford town,728,312,685,311,728,685
4849800,160,48,,,,,,Mount Pleasant city,15564,5449,13935,5029,15564,13935
4850058,160,48,,,,,,Muniz CDP,1370,300,1106,259,1370,1106
4850076,160,48,,,,,,Murchison city,594,256,592,238,594,592
4850100,160,48,,,,,,Murphy city,17708,5196,3099,1126,17708,3099
4850200,160,48,,,,,,Mustang Ridge city,861,292,785,274,861,785
4852356,160,48,,,,,,North Richland Hills city,63343,26395,55635,21600,63343,55635
4853115,160,48,,,,,,Oak Leaf city,1298,482,1209,408,1298,1209
4853130,160,48,,,,,,Oak Point city,2786,1059,1747,640,2786,1747
4853154,160,48,,,,,,Oak Ridge town,141,66,224,93,141,224
4853160,160,48,,,,,,Oak Ridge town,495,190,400,152,495,400
4853190,160,48,,,,,,Oak Ridge North city,3049,1174,2991,1045,3049,2991
4854708,160,48,,,,,,Palestine city,18712,7912,17598,7668,18712,17598
4854912,160,48,,,,,,Pampa city,17994,8492,17887,8785,17994,17887
4856108,160,48,,,,,,Pattison city,472,205,447,186,472,447
4856156,160,48,,,,,,Patton Village city,1557,583,1391,531,1557,1391
4856276,160,48,,,,,,Payne Springs town,767,418,683,369,767,683
4856348,160,48,,,,,,Pearland city,91252,33169,37640,13922,91252,37640
4856384,160,48,,,,,,Pearsall city,9146,2750,7157,2470,9146,7157
4856912,160,48,,,,,,Perryton city,8802,3428,7774,3180,8802,7774
4858892,160,48,,,,,,Port Isabel city,5006,2206,4865,2055,5006,4865
4858904,160,48,,,,,,Portland city,15099,5907,14827,5351,15099,14827
4859066,160,48,,,,,,Post Oak Bend City town,595,235,404,145,595,404
4859084,160,48,,,,,,Poteet city,3260,1186,3305,1201,3260,3305
4859096,160,48,,,,,,Poth town,1908,722,1850,663,1908,1850
4859108,160,48,,,,,,Potosi CDP,2991,1095,1664,624,2991,1664
4859132,160,48,,,,,,Pottsboro town,2160,872,1579,620,2160,1579
4861172,160,48,,,,,,Red Lick city,1008,374,853,315,1008,853
4861196,160,48,,,,,,Red Oak city,10769,3987,4301,1625,10769,4301
4861340,160,48,,,,,,Redwater city,1057,411,872,357,1057,872
4861352,160,48,,,,,,Redwood CDP,4338,1185,3586,946,4338,3586
4861436,160,48,,,,,,Refugio town,2890,1355,2941,1312,2890,2941
4861844,160,48,,,,,,Richland Hills city,7801,3449,8132,3334,7801,8132
4862828,160,48,,,,,,Rockwall city,37490,13957,17976,7089,37490,17976
4863176,160,48,,,,,,Roscoe city,1322,564,1378,588,1322,1378
4863188,160,48,,,,,,Rosebud city,1412,684,1493,673,1412,1493
4863404,160,48,,,,,,Rosser village,332,146,379,156,332,379
4863464,160,48,,,,,,Rotan city,1508,771,1611,841,1508,1611
4863500,160,48,,,,,,Round Rock city,99887,37223,61136,21766,99887,61136
4863572,160,48,,,,,,Rowlett city,56199,18969,44503,14580,56199,44503
4865744,160,48,,,,,,Santa Maria CDP,733,229,846,241,733,846
4865768,160,48,,,,,,Santa Rosa town,2873,875,2833,816,2873,2833
4866416,160,48,,,,,,Seadrift city,1364,817,1352,652,1364,1352
4866428,160,48,,,,,,Seagoville city,14835,4551,10823,3608,14835,10823
4868036,160,48,,,,,,Sinton city,5665,2125,5676,2026,5665,5676
4868576,160,48,,,,,,Snook city,511,245,568,252,511,568
4868678,160,48,,,,,,Solis CDP,512,178,545,208,512,545
4868708,160,48,,,,,,Somerset city,1631,575,1550,547,1631,1550
4868720,160,48,,,,,,Somerville city,1376,683,1704,768,1376,1704
4868756,160,48,,,,,,Sonora city,3027,1323,2924,1264,3027,2924
4871684,160,48,,,,,,Taft city,3048,1205,3396,1214,3048,3396
4871696,160,48,,,,,,Taft Southwest CDP,1460,517,1721,532,1460,1721
4871708,160,48,,,,,,Tahoka city,2673,1189,2910,1194,2673,2910
4871732,160,48,,,,,,Talco city,516,271,570,277,516,570
4871756,160,48,,,,,,Talty town,1535,493,1028,338,1535,1028
4872368,160,48,,,,,,Texarkana city,36411,16115,34782,15105,36411,34782
4872392,160,48,,,,,,Texas City city,45099,18773,41521,16715,45099,41521
4873352,160,48,,,,,,Tool city,2240,1558,2275,1416,2240,2275
4873652,160,48,,,,,,Trinidad city,886,448,1091,474,886,1091
4873710,160,48,,,,,,Trophy Club town,8024,3072,6350,2483,8024,6350
4873724,160,48,,,,,,Troup city,1869,812,1949,839,1869,1949
4873748,160,48,,,,,,Troy city,1645,660,1378,527,1645,1378
4873856,160,48,,,,,,Tuleta CDP,288,133,292,135,288,292
4873868,160,48,,,,,,Tulia city,4967,1876,5117,1898,4967,5117
4874588,160,48,,,,,,Uvalde city,15751,5867,14929,5313,15751,14929
4877020,160,48,,,,,,Weimar city,2151,961,1981,940,2151,1981
4877056,160,48,,,,,,Weir city,450,182,591,229,450,591
4877152,160,48,,,,,,Wellington city,2189,1023,2275,1162,2189,2275
4877680,160,48,,,,,,Westminster CDP,861,362,390,161,861,390
4877728,160,48,,,,,,West Odessa CDP,22707,7862,17799,6393,22707,17799
4879948,160,48,,,,,,Wolfe City city,1412,661,1566,687,1412,1566
4879972,160,48,,,,,,Wolfforth city,3670,1393,2554,972,3670,2554
4880044,160,48,,,,,,Woodbranch city,1282,507,1305,472,1282,1305
4880058,160,48,,,,,,Woodcreek city,1457,783,1274,638,1457,1274
4802212,160,48,,,,,,Alton city,12341,3317,4384,1175,12341,4384
4802260,160,48,,,,,,Alvarado city,3785,1500,3288,1266,3785,3288
4802272,160,48,,,,,,Alvin city,24236,9645,21413,8442,24236,21413
4803342,160,48,,,,,,Annetta South town,526,209,555,198,526,555
4803360,160,48,,,,,,Annona town,315,145,282,142,315,282
4803372,160,48,,,,,,Anson city,2430,1111,2556,1089,2430,2556
4805612,160,48,,,,,,Bardwell city,649,206,583,176,649,583
4807156,160,48,,,,,,Bee Cave city,3925,1707,656,246,3925,656
4807192,160,48,,,,,,Beeville city,12863,5383,13129,5539,12863,13129
4809172,160,48,,,,,,Bogata city,1153,613,1396,659,1153,1396
4810144,160,48,,,,,,Bremond city,929,516,876,466,929,876
4810156,160,48,,,,,,Brenham city,15716,6377,13507,5317,15716,13507
4810192,160,48,,,,,,Briar CDP,5665,2510,5350,2105,5665,5350
4811536,160,48,,,,,,Burton city,300,183,359,194,300,359
4812508,160,48,,,,,,Canutillo CDP,6321,2071,5129,1602,6321,5129
4812532,160,48,,,,,,Canyon city,13303,5611,12875,5091,13303,12875
4814704,160,48,,,,,,China city,1160,520,1112,458,1160,1112
4814716,160,48,,,,,,China Grove town,1179,448,1247,417,1179,1247
4815436,160,48,,,,,,Cleveland city,7675,2984,7605,2976,7675,7605
4815472,160,48,,,,,,Clifton city,3442,1501,3542,1422,3442,3542
4815544,160,48,,,,,,Clint town,926,342,980,337,926,980
4817208,160,48,,,,,,Cottonwood Shores city,1123,488,877,351,1123,877
4817216,160,48,,,,,,Cotulla city,3603,1621,3614,1504,3603,3614
4817948,160,48,,,,,,Crowell city,948,516,1141,568,948,1141
4817960,160,48,,,,,,Crowley city,12838,4714,7467,2748,12838,7467
4818020,160,48,,,,,,Crystal City city,7138,2557,7190,2500,7138,7190
4820152,160,48,,,,,,Devine city,4350,1676,4140,1551,4350,4140
4820212,160,48,,,,,,Deweyville CDP,1023,470,1190,528,1023,1190
4821436,160,48,,,,,,Driscoll city,739,272,825,297,739,825
4821484,160,48,,,,,,Dublin city,3654,1558,3754,1507,3654,3754
4821556,160,48,,,,,,Dumas city,14691,5340,13747,5119,14691,13747
4823080,160,48,,,,,,El Indio CDP,190,67,263,91,190,263
4823140,160,48,,,,,,Elkhart town,1371,549,1215,532,1371,1215
4824552,160,48,,,,,,Escobares city,1188,391,1954,598,1188,1954
4826232,160,48,,,,,,Flower Mound town,64669,21570,50702,16833,64669,50702
4826268,160,48,,,,,,Floydada city,3038,1400,3676,1507,3038,3676
4827432,160,48,,,,,,Freer city,2818,1241,3241,1334,2818,3241
4827540,160,48,,,,,,Fresno CDP,19069,5897,6603,2002,19069,6603
4827648,160,48,,,,,,Friendswood city,35805,13254,29037,10405,35805,29037
4829876,160,48,,,,,,Glen Rose city,2444,1030,2122,903,2444,2122
4830548,160,48,,,,,,Granger city,1419,578,1299,565,1419,1299
4830584,160,48,,,,,,Granite Shoals city,4910,2467,2040,1224,4910,2040
4832612,160,48,,,,,,Hartley CDP,540,181,441,157,540,441
4832696,160,48,,,,,,Haskell city,3322,1488,3106,1526,3322,3106
4833320,160,48,,,,,,Hereford city,15370,5412,14597,5323,15370,14597
4833356,160,48,,,,,,Hermleigh CDP,345,172,393,183,345,393
4833428,160,48,,,,,,Hewitt city,13549,5158,11085,4018,13549,11085
4835180,160,48,,,,,,Hubbard city,1423,713,1586,715,1423,1586
4835228,160,48,,,,,,Hudson city,4731,1710,3792,1390,4731,3792
4835918,160,48,,,,,,Indian Lake town,640,337,541,345,640,541
4838248,160,48,,,,,,Junction city,2574,1270,2618,1222,2574,2618
4839292,160,48,,,,,,Kingsbury CDP,782,339,652,269,782,652
4839304,160,48,,,,,,Kingsland CDP,6030,3714,4584,2803,6030,4584
4840342,160,48,,,,,,La Homa CDP,11985,2983,10433,2856,11985,10433
4840384,160,48,,,,,,La Joya city,3985,1254,3303,969,3985,3303
4840888,160,48,,,,,,Lakeview town,107,67,152,74,107,152
4840966,160,48,,,,,,Lake View CDP,199,143,167,123,199,167
4840984,160,48,,,,,,Lakeway city,11391,5249,8002,3501,11391,8002
4841782,160,48,,,,,,La Victoria CDP,171,54,1683,548,171,1683
4841788,160,48,,,,,,La Villa city,1957,356,1305,354,1957,1305
4842808,160,48,,,,,,Lincoln Park town,308,143,517,202,308,517
4842820,160,48,,,,,,Lindale city,4818,1889,2954,1186,4818,2954
4842844,160,48,,,,,,Linden city,1988,997,2256,1048,1988,2256
4844044,160,48,,,,,,Los Alvarez CDP,303,81,1434,453,303,1434
4844260,160,48,,,,,,Lovelady city,649,300,608,293,649,608
4844308,160,48,,,,,,Lowry Crossing city,1711,625,1229,456,1711,1229
4844344,160,48,,,,,,Lozano CDP,404,142,324,111,404,324
4846752,160,48,,,,,,Marquez city,263,138,220,113,263,220
4846776,160,48,,,,,,Marshall city,23523,9691,23935,9923,23523,23935
4847700,160,48,,,,,,Mercedes city,15570,5825,13649,5455,15570,13649
4847760,160,48,,,,,,Meridian city,1493,629,1491,600,1493,1491
4849080,160,48,,,,,,Monte Alto CDP,1924,557,1611,470,1924,1611
4849932,160,48,,,,,,Muenster city,1544,643,1556,628,1544,1556
4849968,160,48,,,,,,Muleshoe city,5158,1898,4530,1802,5158,4530
4851372,160,48,,,,,,Newton city,2478,852,2459,900,2478,2459
4851396,160,48,,,,,,New Waverly city,1032,420,950,418,1032,950
4852404,160,48,,,,,,North San Pedro CDP,895,289,920,290,895,920
4852668,160,48,,,,,,Novice city,139,91,142,65,139,142
4852902,160,48,,,,,,Oak Grove town,603,254,710,265,603,710
4854528,160,48,,,,,,Oyster Creek city,1111,556,1192,527,1111,1192
4854552,160,48,,,,,,Ozona CDP,3225,1393,3436,1514,3225,3436
4855020,160,48,,,,,,Pantego town,2394,1088,2318,951,2394,2318
4855056,160,48,,,,,,Paradise city,441,200,459,184,441,459
4855080,160,48,,,,,,Paris city,25171,11883,25898,11777,25171,25898
4857908,160,48,,,,,,Pittsburg city,4497,1806,4347,1779,4497,4347
4857980,160,48,,,,,,Plainview city,22194,8536,22336,8471,22194,22336
4858928,160,48,,,,,,Port Mansfield CDP,226,437,415,563,226,415
4858940,160,48,,,,,,Port Neches city,13040,5567,13601,5656,13040,13601
4860356,160,48,,,,,,Ralls city,1944,812,2252,871,1944,2252
4860836,160,48,,,,,,Raymondville city,11284,3074,9733,2842,11284,9733
4860932,160,48,,,,,,Realitos CDP,184,105,209,90,184,209
4862528,160,48,,,,,,Roaring Springs town,234,143,265,145,234,265
4862564,160,48,,,,,,Robert Lee city,1049,636,1171,658,1049,1171
4862588,160,48,,,,,,Robinson city,10509,3965,7845,2942,10509,7845
4863284,160,48,,,,,,Rosenberg city,30618,11162,24043,8438,30618,24043
4865168,160,48,,,,,,Sandia CDP,379,159,431,158,379,431
4865180,160,48,,,,,,San Diego city,4488,1818,4753,1793,4488,4753
4865672,160,48,,,,,,Santa Anna town,1099,586,1081,574,1099,1081
4865690,160,48,,,,,,Santa Clara city,725,270,889,310,725,889
4867136,160,48,,,,,,Shallowater city,2484,927,2086,784,2484,2086
4867160,160,48,,,,,,Shamrock city,1910,1023,2029,1072,1910,2029
4868300,160,48,,,,,,Smiley city,549,220,453,202,549,453
4868456,160,48,,,,,,Smithville city,3817,1708,3901,1672,3817,3901
4868504,160,48,,,,,,Smyer town,474,194,480,215,474,480
4870232,160,48,,,,,,Sterling City city,888,419,1081,467,888,1081
4871324,160,48,,,,,,Sunset Valley city,749,324,365,154,749,365
4871356,160,48,,,,,,Sun Valley city,69,32,51,31,69,51
4871384,160,48,,,,,,Surfside Beach city,482,975,763,879,482,763
4873580,160,48,,,,,,Trent town,337,156,318,150,337,318
4873592,160,48,,,,,,Trenton city,635,301,662,313,635,662
4875428,160,48,,,,,,Victoria city,62592,25660,60603,24192,62592,60603
4876816,160,48,,,,,,Waxahachie city,29621,11554,21426,7909,29621,21426
4876864,160,48,,,,,,Weatherford city,25250,10853,19000,8232,25250,19000
4878436,160,48,,,,,,White Oak city,6469,2389,5624,2118,6469,5624
4878532,160,48,,,,,,Whitesboro city,3793,1690,3760,1624,3793,3760
4878544,160,48,,,,,,White Settlement city,16116,6630,14831,6027,16116,14831
4879792,160,48,,,,,,Winnie CDP,3254,1261,2914,1160,3254,2914
4879816,160,48,,,,,,Winnsboro city,3434,1535,3584,1491,3434,3584
4879828,160,48,,,,,,Winona town,576,243,582,237,576,582
4801636,160,48,,,,,,Alba town,504,237,430,232,504,430
4801648,160,48,,,,,,Albany city,2034,999,1921,880,2034,1921
4801696,160,48,,,,,,Aldine CDP,15869,4458,13979,4403,15869,13979
4801744,160,48,,,,,,Aledo city,2716,954,1726,625,2716,1726
4801852,160,48,,,,,,Alice city,19104,7313,19010,6998,19104,19010
4801858,160,48,,,,,,Alice Acres CDP,490,173,491,141,490,491
4805264,160,48,,,,,,Bailey city,289,115,213,98,289,213
