GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4805288,160,48,,,,,,Bailey's Prairie village,727,291,694,244,727,694
4805336,160,48,,,,,,Baird city,1496,786,1623,806,1496,1623
4805372,160,48,,,,,,Balch Springs city,23728,8001,19375,6504,23728,19375
4805384,160,48,,,,,,Balcones Heights city,2941,1630,3016,1539,2941,3016
4805456,160,48,,,,,,Ballinger city,3767,1765,4243,1879,3767,4243
4805468,160,48,,,,,,Balmorhea city,479,215,527,242,479,527
4808596,160,48,,,,,,Blanket town,390,198,402,189,390,402
4808668,160,48,,,,,,Blessing CDP,927,376,861,334,927,861
4808752,160,48,,,,,,Bloomburg town,404,186,375,177,404,375
4808788,160,48,,,,,,Blooming Grove town,821,371,833,373,821,833
4808800,160,48,,,,,,Bloomington CDP,2459,974,2562,921,2459,2562
4808812,160,48,,,,,,Blossom city,1494,623,1439,606,1494,1439
4811116,160,48,,,,,,Buffalo city,1856,824,1804,815,1856,1804
4811128,160,48,,,,,,Buffalo Gap town,464,235,463,235,464,463
4811155,160,48,,,,,,Buffalo Springs village,453,302,493,303,453,493
4811212,160,48,,,,,,Bullard town,2463,901,1150,464,2463,1150
4811224,160,48,,,,,,Bulverde city,4630,1781,3761,1349,4630,3761
4811236,160,48,,,,,,Buna CDP,2142,991,2269,956,2142,2269
4811368,160,48,,,,,,Burkburnett city,10811,4676,10927,4449,10811,10927
4814224,160,48,,,,,,Chandler city,2734,1175,2099,877,2734,2099
4814260,160,48,,,,,,Channing city,363,155,356,154,363,356
4814404,160,48,,,,,,Charlotte city,1715,644,1637,585,1715,1637
4814584,160,48,,,,,,Chester town,312,154,265,128,312,265
4816540,160,48,,,,,,Cool city,157,85,162,69,157,162
4816552,160,48,,,,,,Coolidge town,955,350,848,339,955,848
4816564,160,48,,,,,,Cooper city,1969,897,2150,983,1969,2150
4816612,160,48,,,,,,Coppell city,38659,14343,35958,12587,38659,35958
4816624,160,48,,,,,,Copperas Cove city,32032,13094,29592,11120,32032,29592
4816636,160,48,,,,,,Copper Canyon town,1334,488,1216,423,1334,1216
4816696,160,48,,,,,,Corinth city,19935,7138,11325,4100,19935,11325
4819708,160,48,,,,,,Dell City city,365,187,413,226,365,413
4819714,160,48,,,,,,Del Mar Heights CDP,113,35,259,81,113,259
4819792,160,48,,,,,,Del Rio city,35591,12958,33867,11895,35591,33867
4819900,160,48,,,,,,Denison city,22682,10373,22773,10309,22682,22773
4819972,160,48,,,,,,Denton city,113383,46211,80537,32716,113383,80537
4822858,160,48,,,,,,El Camino Angosto CDP,253,80,254,70,253,254
4822864,160,48,,,,,,El Campo city,11602,4491,10945,4312,11602,10945
4822905,160,48,,,,,,El Cenizo city,3273,837,3545,811,3273,3545
4825548,160,48,,,,,,Farwell city,1363,597,1364,560,1363,1364
4825572,160,48,,,,,,Fate city,6357,2108,497,184,6357,497
4825644,160,48,,,,,,Fayetteville city,258,232,261,183,258,261
4825656,160,48,,,,,,Faysville CDP,439,125,348,108,439,348
4825752,160,48,,,,,,Ferris city,2436,851,2175,741,2436,2175
4829108,160,48,,,,,,Gary City town,311,131,303,131,311,303
4829168,160,48,,,,,,Gatesville city,15751,3303,15591,2963,15751,15591
4829348,160,48,,,,,,George West city,2445,972,2524,1035,2445,2524
4829384,160,48,,,,,,Geronimo CDP,1032,341,619,209,1032,619
4829408,160,48,,,,,,Gholson city,1061,468,922,374,1061,922
4831880,160,48,,,,,,Hallsburg city,507,210,518,209,507,518
4831904,160,48,,,,,,Hallsville city,3577,1341,2772,1050,3577,2772
4831952,160,48,,,,,,Hamilton city,3095,1470,2977,1449,3095,2977
4831964,160,48,,,,,,Hamlin city,2124,1041,2248,1090,2124,2248
4832156,160,48,,,,,,Happy town,678,301,647,295,678,647
4832240,160,48,,,,,,Hardin city,819,347,755,305,819,755
4834676,160,48,,,,,,Hondo city,8803,2621,7897,2474,8803,7897
4834700,160,48,,,,,,Honey Grove city,1668,805,1746,814,1668,1746
4834736,160,48,,,,,,Hooks city,2769,1274,2973,1345,2769,2973
4834832,160,48,,,,,,Horizon City city,16735,5082,5233,1745,16735,5233
4837648,160,48,,,,,,Jewett city,1167,489,861,399,1167,861
4837684,160,48,,,,,,Joaquin city,824,391,925,400,824,925
4837780,160,48,,,,,,Johnson City city,1656,734,1191,490,1656,1191
4837924,160,48,,,,,,Jolly city,172,76,188,73,172,188
4837936,160,48,,,,,,Jollyville CDP,16151,7256,15813,5993,16151,15813
4839148,160,48,,,,,,Killeen city,127921,53913,86911,35343,127921,86911
4840210,160,48,,,,,,La Feria North CDP,212,57,168,50,212,168
4840258,160,48,,,,,,Lago CDP,204,59,246,57,204,246
4840264,160,48,,,,,,Lago Vista city,6041,3258,4507,2155,6041,4507
4840276,160,48,,,,,,La Grange city,4641,2182,4478,2067,4641,4478
4841566,160,48,,,,,,Las Lomas CDP,3147,839,2684,728,3147,2684
4841569,160,48,,,,,,Las Lomitas CDP,244,100,267,87,244,267
4841582,160,48,,,,,,Las Pilas CDP,28,31,2030,568,28,2030
4841644,160,48,,,,,,Latexo city,322,137,272,136,322,272
4843636,160,48,,,,,,Lone Oak city,598,268,521,234,598,521
4843684,160,48,,,,,,Lone Star city,1581,754,1631,776,1581,1631
4843960,160,48,,,,,,Lopeño CDP,174,73,140,54,174,140
4843972,160,48,,,,,,Lopezville CDP,4333,1130,4476,1117,4333,4476
4846500,160,48,,,,,,Manvel city,5179,1983,3046,1148,5179,3046
4846572,160,48,,,,,,Marathon CDP,430,322,455,287,430,455
4846584,160,48,,,,,,Marble Falls city,6077,2823,4959,2085,6077,4959
4848720,160,48,,,,,,Mingus city,235,141,246,136,235,246
4848756,160,48,,,,,,Mirando City CDP,375,166,493,205,375,493
4848768,160,48,,,,,,Mission city,77058,27291,45408,17723,77058,45408
4848772,160,48,,,,,,Mission Bend CDP,36501,10869,30831,9202,36501,30831
4848804,160,48,,,,,,Missouri City city,67358,23374,52913,17481,67358,52913
4850868,160,48,,,,,,Newcastle city,585,300,575,266,585,575
4850876,160,48,,,,,,New Chapel Hill city,594,242,553,221,594,553
4850916,160,48,,,,,,New Deal town,794,312,708,262,794,708
4850920,160,48,,,,,,New Fairview city,1258,489,877,317,1258,877
4850924,160,48,,,,,,New Falcon CDP,191,106,184,85,191,184
4851012,160,48,,,,,,New Home city,334,125,320,108,334,320
4854024,160,48,,,,,,Omaha city,1021,450,999,438,1021,999
4854048,160,48,,,,,,Onalaska city,1764,1207,1174,961,1764,1174
4854075,160,48,,,,,,Opdyke West town,174,76,188,80,174,188
4854132,160,48,,,,,,Orange city,18595,8868,18643,8364,18595,18643
4854168,160,48,,,,,,Orange Grove city,1318,561,1288,515,1318,1288
4854192,160,48,,,,,,Orchard city,352,150,408,156,352,408
4857116,160,48,,,,,,Pettus CDP,558,234,608,257,558,608
4857476,160,48,,,,,,Pilot Point city,3856,1451,3538,1283,3856,3538
4857524,160,48,,,,,,Pine Forest city,487,217,632,232,487,632
4857596,160,48,,,,,,Pinehurst CDP,4624,1685,4266,1585,4624,4266
4859996,160,48,,,,,,Pyote town,114,63,131,85,114,131
4860044,160,48,,,,,,Quanah city,2641,1485,3022,1485,2641,3022
4860080,160,48,,,,,,Queen City city,1476,763,1613,763,1476,1613
4860092,160,48,,,,,,Quemado CDP,230,92,243,96,230,243
4860140,160,48,,,,,,Quinlan city,1394,626,1370,617,1394,1370
4862138,160,48,,,,,,Rio Bravo city,4794,1326,5553,1347,4794,5553
4862168,160,48,,,,,,Rio Grande City city,13834,4305,11923,3846,13834,11923
4862180,160,48,,,,,,Rio Hondo city,2356,825,1942,787,2356,1942
4862240,160,48,,,,,,Rio Vista city,873,346,656,260,873,656
4862252,160,48,,,,,,Rising Star town,835,489,835,483,835,835
4865024,160,48,,,,,,San Augustine city,2108,1003,2475,1076,2108,2475
4865036,160,48,,,,,,San Benito city,24250,8585,23444,9120,24250,23444
4866704,160,48,,,,,,Selma city,5540,2180,788,298,5540,788
4866764,160,48,,,,,,Seminole city,6430,2506,5910,2337,6430,5910
4866806,160,48,,,,,,Serenada CDP,1641,638,1847,651,1641,1847
4866848,160,48,,,,,,Seth Ward CDP,2025,778,1926,693,2025,1926
4866884,160,48,,,,,,Seven Oaks city,111,58,131,75,111,131
4869764,160,48,,,,,,Springlake town,108,70,135,68,108,135
4869800,160,48,,,,,,Springtown city,2658,1119,2062,842,2658,2062
4869848,160,48,,,,,,Spur city,1318,564,1088,641,1318,1088
4869908,160,48,,,,,,Stafford city,17693,7074,15681,6390,17693,15681
4869932,160,48,,,,,,Stagecoach town,538,200,455,162,538,455
4872578,160,48,,,,,,The Hills village,2472,1027,1492,657,2472,1492
4872740,160,48,,,,,,Thompsons town,246,110,236,114,246,236
4872776,160,48,,,,,,Thorndale city,1336,577,1278,542,1336,1278
4872788,160,48,,,,,,Thornton town,526,252,525,248,526,525
4872800,160,48,,,,,,Thorntonville town,476,227,442,220,476,442
4874732,160,48,,,,,,Valley Mills city,1203,502,1123,487,1203,1123
4874756,160,48,,,,,,Valley View city,757,314,737,292,757,737
4874895,160,48,,,,,,Val Verde Park CDP,2384,782,1945,590,2384,1945
4874912,160,48,,,,,,Van city,2632,1074,2362,999,2632,2362
4874924,160,48,,,,,,Van Alstyne city,3046,1238,2502,1005,3046,2502
4874984,160,48,,,,,,Vanderbilt CDP,395,165,411,163,395,411
4877788,160,48,,,,,,Westover Hills town,682,295,658,273,682,658
4877866,160,48,,,,,,West Sharyland CDP,2309,578,2947,743,2309,2947
4877896,160,48,,,,,,West Tawakoni city,1576,837,1462,759,1576,1462
4877956,160,48,,,,,,West University Place city,14787,5548,14211,5543,14787,14211
4878016,160,48,,,,,,Westway CDP,4188,1265,3829,1005,4188,3829
4808488,160,48,,,,,,Blackwell city,311,167,360,180,311,360
4801576,160,48,,,,,,Alamo city,18353,7453,14760,6208,18353,14760
4801600,160,48,,,,,,Alamo Heights city,7031,3367,7319,3460,7031,7319
4801924,160,48,,,,,,Allen city,84246,28877,43554,15227,84246,43554
4805168,160,48,,,,,,Azle city,10947,4590,9600,3957,10947,9600
4805180,160,48,,,,,,Bacliff CDP,8619,3408,6962,2963,8619,6962
4808536,160,48,,,,,,Blanco city,1739,781,1505,633,1739,1505
4808830,160,48,,,,,,Blue Berry Hill CDP,866,356,982,370,866,982
4811080,160,48,,,,,,Buda city,7295,2630,2404,910,7295,2404
4811300,160,48,,,,,,Bunker Hill Village city,3633,1259,3654,1267,3633,3654
4813972,160,48,,,,,,Central Gardens CDP,4347,1965,4106,1701,4347,4106
4814038,160,48,,,,,,Cesar Chavez CDP,1929,677,1469,793,1929,1469
4814236,160,48,,,,,,Channelview CDP,38289,11982,29685,9874,38289,29685
4816468,160,48,,,,,,Converse city,18198,6627,11508,4009,18198,11508
4817000,160,48,,,,,,Corpus Christi city,305215,125469,277454,107831,305215,277454
4819672,160,48,,,,,,De Leon city,2246,1094,2433,1127,2246,2433
4819984,160,48,,,,,,Denver City town,4479,1635,3985,1644,4479,3985
4822810,160,48,,,,,,Eidson Road CDP,8960,2665,9348,2583,8960,9348
4825452,160,48,,,,,,Farmers Branch city,28616,11549,27508,10115,28616,27508
4825488,160,48,,,,,,Farmersville city,3301,1291,3118,1199,3301,3118
4825795,160,48,,,,,,Fifth Street CDP,2486,699,2059,537,2486,2059
4829060,160,48,,,,,,Garrison city,895,385,844,372,895,844
4829336,160,48,,,,,,Georgetown city,47400,20037,28339,10902,47400,28339
4829432,160,48,,,,,,Giddings city,4881,1911,5105,1852,4881,5105
4831868,160,48,,,,,,Hallettsville city,2550,1248,2345,1223,2550,2345
4831928,160,48,,,,,,Haltom City city,42409,16626,39018,15716,42409,39018
4832312,160,48,,,,,,Harker Heights city,26700,10347,17308,6823,26700,17308
4834628,160,48,,,,,,Hollywood Park town,3062,1405,2983,1222,3062,2983
4834671,160,48,,,,,,Homestead Meadows North CDP,5124,1570,4232,1268,5124,4232
4834673,160,48,,,,,,Homestead Meadows South CDP,7247,2023,6807,1628,7247,6807
4834862,160,48,,,,,,Horseshoe Bay city,3418,3131,3337,2773,3418,3337
4837528,160,48,,,,,,Jefferson city,2106,1052,2024,1042,2106,2024
4837612,160,48,,,,,,Jersey Village city,7620,3601,6880,3037,7620,6880
4837984,160,48,,,,,,Jones Creek village,2020,812,2130,835,2020,2130
4840204,160,48,,,,,,La Feria city,7302,2867,6115,2895,7302,6115
4840288,160,48,,,,,,La Grulla city,1622,588,1211,468,1622,1211
4841548,160,48,,,,,,Lasara CDP,1039,297,1024,295,1039,1024
4843516,160,48,,,,,,Lometa city,856,352,782,339,856,782
4843888,160,48,,,,,,Longview city,80455,32751,73344,30726,80455,73344
4843996,160,48,,,,,,Loraine town,602,301,656,320,602,656
4846440,160,48,,,,,,Manor city,5037,1645,1204,436,5037,1204
4846452,160,48,,,,,,Mansfield city,56368,19106,28031,9172,56368,28031
4846620,160,48,,,,,,Marfa city,1981,1192,2121,1126,1981,2121
4848648,160,48,,,,,,Mineola city,4515,2029,4550,1993,4515,4550
4848684,160,48,,,,,,Mineral Wells city,16788,6331,16946,6386,16788,16946
4850796,160,48,,,,,,New Berlin city,511,222,467,178,511,467
4850808,160,48,,,,,,New Boston city,4550,2122,4808,2229,4550,4808
4850820,160,48,,,,,,New Braunfels city,57740,23381,36494,14896,57740,36494
4854000,160,48,,,,,,Olney city,3285,1545,3396,1668,3285,3396
4854012,160,48,,,,,,Olton city,2215,864,2288,852,2215,2288
4857176,160,48,,,,,,Pflugerville city,46936,16418,16335,5239,46936,16335
4857200,160,48,,,,,,Pharr city,70400,22796,46660,16537,70400,46660
4857608,160,48,,,,,,Pinehurst city,2097,1023,2274,1059,2097,2274
4861904,160,48,,,,,,Richwood city,3510,1491,3012,1254,3510,3012
4862108,160,48,,,,,,Riesel city,1007,443,973,390,1007,973
4864472,160,48,,,,,,San Angelo city,93200,39548,88439,37699,93200,88439
4865000,160,48,,,,,,San Antonio city,1327407,524246,1144646,433122,1327407,1144646
4865048,160,48,,,,,,San Carlos CDP,3130,861,2650,693,3130,2650
4866512,160,48,,,,,,Sebastian CDP,1917,682,1864,645,1917,1864
4866644,160,48,,,,,,Seguin city,25175,9714,22011,8164,25175,22011
4866908,160,48,,,,,,Seven Points city,1455,707,1145,550,1455,1145
4869596,160,48,,,,,,Spring CDP,54298,19191,36385,12714,54298,36385
4872476,160,48,,,,,,Texline town,507,222,511,227,507,511
4872530,160,48,,,,,,The Colony city,36328,14052,26531,8812,36328,26531
4872656,160,48,,,,,,The Woodlands CDP,93847,37339,55649,21014,93847,55649
4877752,160,48,,,,,,West Orange city,3443,1689,4111,1876,3443,4111
4878136,160,48,,,,,,Wharton city,8832,3928,9237,4000,8832,9237
4802104,160,48,,,,,,Alpine city,5905,3033,5786,2852,5905,5786
4805528,160,48,,,,,,Bandera city,857,437,957,488,857,957
4805552,160,48,,,,,,Bangs city,1603,726,1620,733,1603,1620
4808860,160,48,,,,,,Blue Mound city,2394,792,2388,790,2394,2388
4808872,160,48,,,,,,Blue Ridge city,822,323,672,259,822,672
4811428,160,48,,,,,,Burleson city,36690,13591,20976,7794,36690,20976
4814620,160,48,,,,,,Chico city,1002,406,947,406,1002,947
4814668,160,48,,,,,,Childress city,6105,2363,6778,2554,6105,6778
4814680,160,48,,,,,,Chillicothe city,707,355,798,373,707,798
4817036,160,48,,,,,,Corrigan town,1595,698,1721,734,1595,1721
4817060,160,48,,,,,,Corsicana city,23770,9491,24485,9552,23770,24485
4820020,160,48,,,,,,Deport city,578,307,718,314,578,718
4820092,160,48,,,,,,DeSoto city,49047,19488,37646,14069,49047,37646
4820128,160,48,,,,,,Detroit town,732,358,776,359,732,776
4822960,160,48,,,,,,Eldorado city,1951,838,1951,838,1951,1951
4822984,160,48,,,,,,Electra city,2791,1426,3168,1529,2791,3168
4823044,160,48,,,,,,Elgin city,8135,2948,5700,2032,8135,5700
4826028,160,48,,,,,,Flatonia town,1383,599,1377,568,1383,1377
4826136,160,48,,,,,,Florence city,1136,446,1054,410,1136,1054
4829564,160,48,,,,,,Gilmer city,4905,2149,4799,2214,4905,4799
4829660,160,48,,,,,,Gladewater city,6441,2726,6078,2601,6441,6078
4832372,160,48,,,,,,Harlingen city,64849,25585,57564,23008,64849,57564
4832456,160,48,,,,,,Harper CDP,1192,624,1006,536,1192,1006
4835000,160,48,,,,,,Houston city,2099451,892646,1953631,782009,2099451,1953631
4835084,160,48,,,,,,Howe town,2600,1038,2478,997,2600,2478
4838020,160,48,,,,,,Jonestown city,1834,1113,1681,770,1834,1681
4838068,160,48,,,,,,Josephine city,812,316,594,220,812,594
4838080,160,48,,,,,,Joshua city,5910,2246,4528,1723,5910,4528
4840300,160,48,,,,,,Laguna Heights CDP,3488,1042,1990,572,3488,1990
4840336,160,48,,,,,,Laguna Vista town,3117,1737,1658,695,3117,1658
4841704,160,48,,,,,,Laughlin AFB CDP,1569,527,2225,664,1569,2225
4841728,160,48,,,,,,Laureles CDP,3692,981,3285,819,3692,3285
4844020,160,48,,,,,,Lorena city,1691,640,1433,551,1691,1433
4844032,160,48,,,,,,Lorenzo city,1147,508,1372,525,1147,1372
4846692,160,48,,,,,,Marion city,1066,422,1099,395,1066,1099
4846716,160,48,,,,,,Markham CDP,1082,448,1138,446,1082,1138
4848936,160,48,,,,,,Monahans city,6953,2966,6821,3015,6953,6821
4849068,160,48,,,,,,Mont Belvieu city,3835,1426,2324,888,3835,2324
4851168,160,48,,,,,,New London city,998,407,987,388,998,987
4851336,160,48,,,,,,New Summerfield city,1111,348,998,319,1111,998
4854216,160,48,,,,,,Ore City city,1144,468,1106,432,1144,1106
4854432,160,48,,,,,,Overton city,2554,1086,2350,1013,2554,2350
4854444,160,48,,,,,,Ovilla city,3492,1300,3405,1151,3492,3405
4857615,160,48,,,,,,Pine Island town,988,405,849,333,988,849
4857644,160,48,,,,,,Pineland city,850,392,980,447,850,980
4857752,160,48,,,,,,Pinewood Estates CDP,1678,621,1633,539,1678,1633
4857800,160,48,,,,,,Piney Point Village city,3125,1124,3380,1282,3125,3380
4860188,160,48,,,,,,Quitman city,1809,886,2030,874,1809,2030
4862384,160,48,,,,,,River Oaks city,7427,2854,6985,2856,7427,6985
4862408,160,48,,,,,,Riverside city,510,343,425,269,510,425
4862504,160,48,,,,,,Roanoke city,5962,2560,2810,1462,5962,2810
4866968,160,48,,,,,,Seymour city,2740,1451,2908,1534,2740,2908
4867082,160,48,,,,,,Shady Hollow CDP,5004,1827,5140,1675,5004,5140
4867100,160,48,,,,,,Shady Shores town,2612,1004,1461,592,2612,1461
4869980,160,48,,,,,,Stamford city,3124,1638,3636,1713,3124,3636
4870040,160,48,,,,,,Stanton city,2492,980,2556,1002,2492,2556
4872824,160,48,,,,,,Thrall city,839,319,710,264,839,710
4872872,160,48,,,,,,Three Rivers city,1848,845,1878,876,1848,1878
4872896,160,48,,,,,,Throckmorton town,828,477,905,477,828,905
4875032,160,48,,,,,,Van Horn town,2063,915,2435,976,2063,2435
4875068,160,48,,,,,,Van Vleck CDP,1844,721,1411,578,1844,1411
4875188,160,48,,,,,,Vega city,884,420,936,407,884,936
4878208,160,48,,,,,,Wheeler city,1592,667,1378,612,1592,1378
4878316,160,48,,,,,,White Deer town,1000,459,1060,490,1000,1060
4878328,160,48,,,,,,Whiteface town,449,193,465,207,449,465
4878388,160,48,,,,,,Whitehouse city,7660,2736,5346,1890,7660,5346
4801240,160,48,,,,,,Addison town,13056,8419,14166,8205,13056,14166
4804516,160,48,,,,,,Atlanta city,5675,2609,5745,2556,5675,5745
4808236,160,48,,,,,,Big Spring city,27282,9640,25233,9865,27282,25233
4810897,160,48,,,,,,Brushy Creek CDP,21764,7856,15371,4919,21764,15371
4810912,160,48,,,,,,Bryan city,76201,30582,65660,25703,76201,65660
4813552,160,48,,,,,,Cedar Park city,48937,18726,26049,8914,48937,26049
4816228,160,48,,,,,,Comfort CDP,2363,929,2358,917,2363,2358
4816240,160,48,,,,,,Commerce city,8078,3613,7669,3405,8078,7669
4819432,160,48,,,,,,Dayton city,7242,3002,5709,2371,7242,5709
4819528,160,48,,,,,,Decatur city,6042,2441,5201,2000,6042,5201
4822660,160,48,,,,,,Edinburg city,77100,25167,48465,16031,77100,48465
4825368,160,48,,,,,,Falfurrias city,4981,2139,5297,2062,4981,5297
4828248,160,48,,,,,,Garden Ridge city,3259,1279,1882,722,3259,1882
4831592,160,48,,,,,,Gun Barrel City city,5672,2990,5145,2736,5672,5145
4834220,160,48,,,,,,Hitchcock city,6961,3020,6386,2754,6961,6386
4834502,160,48,,,,,,Holiday Lakes town,1107,391,1095,412,1107,1095
4837168,160,48,,,,,,Jacksboro city,4511,1588,4533,1559,4511,4533
4837216,160,48,,,,,,Jacksonville city,14544,5593,13868,5397,14544,13868
4840036,160,48,,,,,,Lackland AFB CDP,9918,230,7123,412,9918,7123
4841464,160,48,,,,,,Laredo city,236091,68610,176576,50319,236091,176576
4845948,160,48,,,,,,McQueeney CDP,2545,1356,2527,1269,2545,2527
4845996,160,48,,,,,,Madisonville city,4396,1677,4159,1653,4396,4159
4850580,160,48,,,,,,Nederland city,17547,7689,17422,7226,17547,17422
4850628,160,48,,,,,,Needville city,2823,1098,2609,979,2823,2609
4861796,160,48,,,,,,Richardson city,99223,40630,91802,36530,99223,91802
4866392,160,48,,,,,,Seabrook city,11952,5528,9443,4536,11952,9443
4872284,160,48,,,,,,Terrell city,15816,6113,13606,5032,15816,13606
4872296,160,48,,,,,,Terrell Hills city,4878,2060,5019,2011,4878,5019
4874408,160,48,,,,,,Universal City city,18530,8036,14849,6331,18530,14849
4874492,160,48,,,,,,University Park city,23068,7884,23324,8492,23068,23324
4877632,160,48,,,,,,West Lake Hills city,3063,1279,3116,1185,3063,3116
4877662,160,48,,,,,,West Livingston CDP,8071,2384,6612,2285,8071,6612
4880584,160,48,,,,,,Yorktown city,2092,1026,2271,1048,2092,2271
4880716,160,48,,,,,,Zapata CDP,5089,2128,4856,2239,5089,4856
4804504,160,48,,,,,,Athens city,12710,5204,11297,4549,12710,11297
4808212,160,48,,,,,,Big Lake city,2936,1089,2885,1148,2936,2885
4813492,160,48,,,,,,Cedar Hill city,45028,16338,32093,11075,45028,32093
4816192,160,48,,,,,,Comanche city,4335,1933,4482,1898,4335,4482
4837156,160,48,,,,,,Jacinto City city,10553,3357,10302,3124,10553,10302
4850472,160,48,,,,,,Navasota city,7049,2805,6789,2661,7049,6789
4859576,160,48,,,,,,Princeton city,6807,2533,3477,1377,6807,3477
4864112,160,48,,,,,,Saginaw city,19806,6820,12374,4339,19806,12374
4880560,160,48,,,,,,Yoakum city,5815,2494,5731,2529,5815,5731
4803264,160,48,,,,,,Angleton city,18862,7621,18130,7220,18862,18130
4806128,160,48,,,,,,Baytown city,71802,28998,66430,26203,71802,66430
4842448,160,48,,,,,,Levelland city,13542,5387,12866,5186,13542,12866
4842508,160,48,,,,,,Lewisville city,95290,39967,77737,31764,95290,77737
4858820,160,48,,,,,,Port Arthur city,53818,23577,57755,24713,53818,57755
4865600,160,48,,,,,,San Marcos city,44894,18179,34733,13340,44894,34733
4873316,160,48,,,,,,Tomball city,10753,4859,9089,4009,10753,9089
4879676,160,48,,,,,,Windemere CDP,1037,609,6868,2263,1037,6868
